EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
 105 2.63750E+18 0.000000 0.000000 0.418837 20417.8 0.000000     0.0 0.0000000000000000000000000000000071181953672537175410853096339612186998186331247933597747789391074235 0.0000000000000007520629996124954397612597912357239163609319652220586149837799894157797098159790039062
 106 2.66250E+18 0.000000 0.000000 0.418992 20425.4 0.000000     0.0 0.0000000000000000000000000000000073142502858807699275467299288173760760443433987783527085552043573152 0.0000000000000007520629996126382235851047943725034392312481495296294653485347225796431303024291992188
 107 2.68750E+18 0.000000 0.000000 0.419143 20432.8 0.000000     0.0 0.0000000000000000000000000000000075158201460151708204959987561496312691869044475465746763000741700330 0.0000000000000007520629996127778519653289134620613151873032026922816228875490196514874696731567382812
 108 2.71250E+18 0.000000 0.000000 0.419292 20440.0 0.000000     0.0 0.0000000000000000000000000000000077230611373062790022724300257599152795099600396768315552123151082411 0.0000000000000007520629996129148179399979116367759265594504264514086333548448237706907093524932861328
 109 2.73750E+18 0.000000 0.000000 0.419438 20447.1 0.000000     0.0 0.0000000000000000000000000000000079361339071735874702007252464580498120245970953793498137852334695384 0.0000000000000007520629996130487270786591783907445674834071794138956601472045804257504642009735107422
 110 2.76250E+18 0.000000 0.000000 0.419581 20454.1 0.000000     0.0 0.0000000000000000000000000000000081552036884319393348393609296088681537529181533767481561388895254738 0.0000000000000007520629996131800724193784768563456202895267633211362490186502327560447156429290771484
 111 2.78750E+18 0.000000 0.000000 0.419721 20460.9 0.000000     0.0 0.0000000000000000000000000000000083804404305769585707894348244030217297742848591873265660074153907333 0.0000000000000007520629996133087553545426544071034085117385178248516908183773921336978673934936523438
 112 2.81250E+18 0.000000 0.000000 0.419858 20467.6 0.000000     0.0 0.0000000000000000000000000000000086120189348451340823468100008407963713864615044927461733808169013388 0.0000000000000007520629996134348744917648636694936086161131032733206946971904471865855157375335693359
 113 2.83750E+18 0.000000 0.000000 0.419993 20474.2 0.000000     0.0 0.0000000000000000000000000000000088501189931492370943660191256847982894498282558816540762111608869731 0.0000000000000007520629996135584298310451046435162206026505196665432606550893979147076606750488281250
 114 2.86250E+18 0.000000 0.000000 0.420125 20480.6 0.000000     0.0 0.0000000000000000000000000000000090949255310031216892478028613863197831202775399742917800345859013481 0.0000000000000007520629996136795199799965299556469209374214273527980978428786329459398984909057617188
